year,game_code,a_team_name,a_name_conference,a_team_code,a_result,a_points,b_team_code,team_name,name_conference,b_result,b_points,half_leader,a_rush,b_rush,a_offense_rush_yards,b_defense_rush_yards,a_defense_rush_yards,b_offense_rush_yards,a_offense_pass_yards,b_defense_pass_yards,a_defense_pass_yards,b_offense_pass_yards,a_pass,b_pass,a_incomplete_pass,b_incomplete_pass,a_penalty,b_penalty,a_penalty_yards,b_penalty_yards,half_diff_score,half_diff_score_abs,hometeam,b_home,visit_date,stadium_code,stadium_name,site,city,state,capacity,surface,surfaceint,year_opened
2013,2.05E+12,New Mexico State                                  ,Independent                                                                ,472,1,21,2,Abilene Christian                                 ,Ind                                                                        ,0,22,BTEAM     ,20,16,100,100,87,87,169,169,159,159,18,21,3,5,2,2,10,15,-1,1,A,0,10/26/2013,88,Aggie Stadium                                                              ,TEAM           ,Las Cruces                                                                 ,NM,40000,Grass                    ,1,1978
2010,5.00E+12,Akron                                             ,Mid-American Conference                                                    ,5,0,7,47,Ball State                                        ,Mid-American Conference                                                    ,1,13,BTEAM     ,18,18,32,32,110,110,71,71,42,42,15,14,8,5,1,1,5,0,-6,6,B,1,11/6/2010,48,Scheumann Stadium                                                          ,TEAM           ,Munice                                                                     ,IN,22500,FieldTurf                ,0,1967
2009,5.01E+12,Bowling Green                                     ,Mid-American Conference                                                    ,71,1,9,5,Akron                                             ,Mid-American Conference                                                    ,0,10,BTEAM     ,13,21,-81,-81,85,85,166,166,60,60,18,10,6,3,3,0,20,0,-1,1,A,0,11/20/2009,96,Doyt Perry Stadium                                                         ,TEAM           ,Bowling Green                                                              ,OH,28599,FieldTurf                ,0,1966
2013,5.01E+12,Akron                                             ,Mid-American Conference                                                    ,5,0,14,71,Bowling Green                                     ,Mid-American Conference                                                    ,1,10,ATEAM     ,15,21,61,61,82,82,137,137,73,73,23,13,8,6,2,1,23,5,4,4,B,1,9/28/2013,96,Doyt Perry Stadium                                                         ,TEAM           ,Bowling Green                                                              ,OH,28599,FieldTurf                ,0,1966
2009,5.01E+12,Akron                                             ,Mid-American Conference                                                    ,5,0,7,86,Buffalo                                           ,Mid-American Conference                                                    ,1,7,TIED      ,18,18,-13,-13,43,43,0,0,144,144,11,21,3,9,1,4,15,15,0,0,B,1,10/17/2009,91,UB Stadium                                                                 ,TEAM           ,Buffalo                                                                    ,NY,31000,Sportexe Momentum        ,0,1993
2012,5.01E+12,Akron                                             ,Mid-American Conference                                                    ,5,0,7,129,Central Michigan                                  ,Mid-American Conference                                                    ,1,14,BTEAM     ,17,15,72,72,126,126,73,73,75,75,29,18,6,8,4,3,25,10,-7,7,B,1,10/27/2012,70,Kelly/Shorts Stadium                                                       ,TEAM           ,Mount Pleasant                                                             ,MI,30199,FieldTurf                ,0,1972
2008,5.02E+12,Eastern Michigan                                  ,Mid-American Conference                                                    ,204,0,14,5,Akron                                             ,Mid-American Conference                                                    ,1,24,BTEAM     ,23,19,100,100,158,158,45,45,103,103,16,12,7,7,0,1,0,15,-10,10,A,0,10/18/2008,71,Rynearson Stadium                                                          ,TEAM           ,Ypsilanti                                                                  ,MI,30200,FieldTurf                ,0,1969
2011,5.02E+12,Eastern Michigan                                  ,Mid-American Conference                                                    ,204,1,14,5,Akron                                             ,Mid-American Conference                                                    ,0,10,ATEAM     ,34,15,175,175,41,41,64,64,75,75,5,10,2,5,3,3,10,25,4,4,A,0,10/1/2011,71,Rynearson Stadium                                                          ,TEAM           ,Ypsilanti                                                                  ,MI,30200,FieldTurf                ,0,1969
2008,5.03E+12,Kent State                                        ,Mid-American Conference                                                    ,331,0,21,5,Akron                                             ,Mid-American Conference                                                    ,1,10,ATEAM     ,25,17,106,106,64,64,93,93,83,83,13,15,4,5,1,1,7,5,11,11,A,0,10/4/2008,100,Dix Stadium                                                                ,TEAM           ,Kent                                                                       ,OH,29287,FieldTurf                ,0,1969
2010,5.03E+12,Kent State                                        ,Mid-American Conference                                                    ,331,1,21,5,Akron                                             ,Mid-American Conference                                                    ,0,10,ATEAM     ,13,21,64,64,74,74,126,126,149,149,20,15,8,8,4,4,10,40,11,11,A,0,10/9/2010,100,Dix Stadium                                                                ,TEAM           ,Kent                                                                       ,OH,29287,FieldTurf                ,0,1969
2012,5.03E+12,Akron                                             ,Mid-American Conference                                                    ,5,0,21,331,Kent State                                        ,Mid-American Conference                                                    ,1,14,ATEAM     ,17,15,105,105,92,92,178,178,71,71,23,11,6,2,4,2,30,10,7,7,B,1,11/3/2012,100,Dix Stadium                                                                ,TEAM           ,Kent                                                                       ,OH,29287,FieldTurf                ,0,1969
2013,5.04E+12,Massachusetts                                     ,Mid-American Conference                                                    ,400,0,6,5,Akron                                             ,Mid-American Conference                                                    ,1,7,BTEAM     ,21,15,37,37,25,25,104,104,101,101,20,19,7,9,1,2,5,10,-1,1,A,0,11/16/2013,163,Gillette Stadium                                                           ,TEAM           ,Foxborough                                                                 ,MA,68756,FieldTurf                ,0,2002
2013,5.04E+12,Akron                                             ,Mid-American Conference                                                    ,5,1,7,414,Miami (Ohio)                                      ,Mid-American Conference                                                    ,0,7,TIED      ,16,18,31,31,61,61,41,41,47,47,22,12,4,4,0,2,0,15,0,0,B,1,10/19/2013,101,Fred C. Yager Stadium                                                      ,TEAM           ,Oxford                                                                     ,OH,30012,FieldTurf                ,0,1983
2013,5.04E+12,Michigan                                          ,Big Ten Conference                                                         ,418,1,7,5,Akron                                             ,Mid-American Conference                                                    ,0,3,ATEAM     ,12,14,-35,-35,43,43,142,142,107,107,19,22,6,12,1,2,5,15,4,4,A,0,9/14/2013,66,Michigan Stadium                                                           ,TEAM           ,Ann Arbor                                                                  ,MI,107501,FieldTurf                ,0,1927
2009,5.05E+12,Akron                                             ,Mid-American Conference                                                    ,5,0,0,503,Northern Illinois                                 ,Mid-American Conference                                                    ,1,6,BTEAM     ,10,28,32,32,127,127,48,48,23,23,11,8,6,5,2,1,20,5,-6,6,B,1,10/31/2009,45,Huskie Stadium                                                             ,TEAM           ,De Kalb                                                                    ,IL,30076,FieldTurf                ,0,1965
2013,5.05E+12,Akron                                             ,Mid-American Conference                                                    ,5,0,14,503,Northern Illinois                                 ,Mid-American Conference                                                    ,1,17,BTEAM     ,16,20,14,14,105,105,155,155,131,131,21,28,10,16,1,2,5,20,-3,3,B,1,10/12/2013,45,Huskie Stadium                                                             ,TEAM           ,De Kalb                                                                    ,IL,30076,FieldTurf                ,0,1965
