year,game_code,Your Team,a_name_conference,a_result,a_points,a_rush,a_offense_rush_yards,a_defense_rush_yards,a_offense_pass_yards,a_defense_pass_yards,a_pass,a_incomplete_pass,a_penalty,a_penalty_yards,visit_date,stadium_name,city,state,capacity,surface,surfaceint,year_opened
2008,2.01E+14,Eastern Illinois                                  ,OVC                                                                        ,0,3,13,95,6,93,152,15,5,2,20,8/28/2008,Kelly/Shorts Stadium                                                       ,Mount Pleasant                                                             ,MI,30199,FieldTurf                ,0,1972
2008,4.90E+14,North Carolina State                              ,Atlantic Coast Conference                                                  ,0,0,18,146,23,-8,70,9,5,3,15,8/28/2008,Williams-Brice Stadium                                                     ,Columbia                                                                   ,SC,80250,Grass                    ,1,1934
2008,5.28E+14,Oregon State                                      ,Pac-12/Pac-10 Conference                                                   ,0,17,12,48,122,166,71,18,8,3,30,8/28/2008,Stanford Stadium                                                           ,Stanford                                                                   ,CA,50000,Grass                    ,1,1921
2008,7.04E+14,Buffalo                                           ,Mid-American Conference                                                    ,1,21,18,102,88,142,113,12,5,0,0,8/28/2008,UB Stadium                                                                 ,Buffalo                                                                    ,NY,31000,Sportexe Momentum        ,0,1993
2008,7.16E+14,Troy                                              ,Sun Belt Conference                                                        ,1,17,16,84,44,46,138,8,3,0,0,8/28/2008,Floyd Stadium                                                              ,Murfreesboro                                                               ,TN,30788,AstroTurf                ,0,1998
2008,7.49E+14,Wake Forest                                       ,Atlantic Coast Conference                                                  ,1,20,22,63,75,138,35,24,6,1,5,8/28/2008,Floyd Casey Stadium                                                        ,Waco                                                                       ,TX,50000,Prestige System          ,0,1950
2008,5.08E+12,Akron                                             ,Mid-American Conference                                                    ,0,10,14,58,145,97,34,14,8,1,5,8/30/2008,Camp Randall Stadium                                                       ,Madison                                                                    ,WI,79500,FieldTurf                ,0,1917
2008,3.01E+13,Texas A&M                                         ,Southeastern Conference                                                    ,0,14,21,101,49,76,75,13,5,2,20,8/30/2008,Kyle Field                                                                 ,College Station                                                            ,TX,82600,Grass                    ,1,1929
2008,6.70E+13,Kent State                                        ,Mid-American Conference                                                    ,0,0,19,48,106,36,50,14,5,0,0,8/30/2008,Cleveland Browns Stadium                                                   ,Cleveland                                                                  ,OH,72300,Grass                    ,1,1999
2008,7.11E+13,Bowling Green                                     ,Mid-American Conference                                                    ,1,14,9,39,108,132,111,20,8,1,5,8/30/2008,Heinz Field                                                                ,Pittsburgh                                                                 ,PA,64450,Grass                    ,1,2001
2008,9.01E+13,San Diego State                                   ,Mountain West Conference                                                   ,1,7,14,2,18,102,62,20,8,1,10,8/30/2008,Qualcomm Stadium                                                           ,San Diego                                                                  ,CA,71294,Grass                    ,1,1967
2008,1.08E+14,UC Davis                                          ,Big Sky                                                                    ,0,10,15,39,3,105,96,18,6,2,10,8/30/2008,Spartan Stadium                                                            ,San Jose                                                                   ,CA,30000,Grass                    ,1,1933
2008,1.80E+14,Delaware                                          ,Colonial                                                                   ,0,0,19,70,133,38,106,9,3,2,20,8/30/2008,Byrd Stadium                                                               ,College Park                                                               ,MD,62000,Grass                    ,1,1950
2008,2.07E+14,Texas Tech                                        ,Big 12 Conference                                                          ,1,28,16,51,12,282,154,33,8,5,24,8/30/2008,Jones SBC Stadium                                                          ,Lubbock                                                                    ,TX,50000,FieldTurf                ,0,1947
2008,2.99E+14,Illinois State                                    ,MVFC/Gateway                                                               ,0,7,22,61,92,136,-2,20,7,1,10,8/30/2008,Joan Edwards Stadium                                                       ,Huntington                                                                 ,WV,38016,FieldTurf                ,0,1991
2008,3.17E+14,James Madison                                     ,Colonial                                                                   ,0,7,19,84,84,12,73,2,1,1,15,8/30/2008,Wallace Wade Stadium                                                       ,Durham                                                                     ,NC,33941,Grass                    ,1,1929
2008,4.02E+14,McNeese State                                     ,Southland                                                                  ,0,14,23,43,45,116,37,16,5,1,15,8/30/2008,Kenan Stadium                                                              ,Chapel Hill                                                                ,NC,61836,Grass                    ,1,1927
2008,4.16E+14,California                                        ,Pac-12/Pac-10 Conference                                                   ,1,17,13,63,52,199,24,15,3,6,52,8/30/2008,Memorial Stadium                                                           ,Berkeley                                                                   ,CA,63000,Sportexe Momentum        ,0,1923
2008,5.03E+14,Northern Illinois                                 ,Mid-American Conference                                                    ,0,10,16,55,66,73,77,9,2,2,10,8/30/2008,Metrodome                                                                  ,Minneapolis                                                                ,MN,65000,FieldTurf                ,0,1982
2008,5.19E+14,Ohio                                              ,Mid-American Conference                                                    ,0,17,14,-55,56,87,99,16,4,3,33,8/30/2008,War Memorial Stadium                                                       ,Laramie                                                                    ,WY,33500,FieldTurf                ,0,1950
2008,5.21E+14,Oklahoma State                                    ,Big 12 Conference                                                          ,1,12,22,87,35,96,22,18,5,2,10,8/30/2008,CenturyLink Field                                                          ,Seattle                                                                    ,WA,67000,FieldTurf                ,0,2002
2008,6.47E+14,South Carolina State                              ,Mid-Eastern                                                                ,0,0,8,24,74,129,-2,15,7,3,15,8/30/2008,Bright House Networks Stadium                                              ,Orlando                                                                    ,FL,45301,Grass                    ,1,2007
2008,6.88E+14,Northwestern                                      ,Big Ten Conference                                                         ,1,9,17,124,112,79,61,22,8,1,0,8/30/2008,Ryan Field                                                                 ,Evanston                                                                   ,IL,49256,Grass                    ,1,1926
2008,7.11E+14,Navy                                              ,Independent                                                                ,1,21,27,266,27,6,182,4,3,5,35,8/30/2008,Navy-Marine Corps Memorial Stadium                                         ,Annapolis                                                                  ,MD,35000,FieldTurf                ,0,1959
2008,7.19E+14,Tulsa                                             ,Conference USA                                                             ,1,21,15,-2,176,186,106,11,1,2,15,8/30/2008,Legion Field                                                               ,Birmingham                                                                 ,AL,71594,FieldTurf                ,0,1927
2008,7.31E+14,UNLV                                              ,Mountain West Conference                                                   ,1,17,16,54,9,157,142,20,7,2,10,8/30/2008,Sam Boyd Stadium                                                           ,Las Vegas                                                                  ,NV,36800,TurfTech                 ,0,1971
2008,7.32E+14,Utah                                              ,Pac-12/Pac-10 Conference                                                   ,1,22,18,57,-4,250,122,24,9,3,14,8/30/2008,Michigan Stadium                                                           ,Ann Arbor                                                                  ,MI,107501,FieldTurf                ,0,1927
2008,7.39E+14,West Virginia                                     ,Big 12 Conference                                                          ,1,21,11,76,76,108,154,18,6,3,20,8/30/2008,Mountaineer Field                                                          ,Morgantown                                                                 ,WV,63500,FieldTurf                ,0,1980
2008,7.42E+14,East Carolina                                     ,Conference USA                                                             ,1,7,18,134,-29,61,67,8,1,0,0,8/30/2008,Bank of America Stadium                                                    ,Charlotte                                                                  ,NC,73248,Grass                    ,1,1996
2008,7.71E+14,Western Illinois                                  ,MVFC/Gateway                                                               ,0,10,22,98,14,-36,130,12,7,0,0,8/30/2008,Donald W. Reynolds Razorback Stadium                                       ,Fayetteville                                                               ,AR,72000,Sportexe PowerBlade      ,0,1938
2008,1.56E+14,Colorado                                          ,Pac-12/Pac-10 Conference                                                   ,1,21,13,20,140,153,41,15,4,3,15,8/31/2008,Folsom Field                                                               ,Boulder                                                                    ,CO,53245,Grass                    ,1,1924
2008,9.61E+13,Fresno State                                      ,Mountain West Conference                                                   ,1,0,13,37,-18,53,84,15,10,1,5,9/1/2008,High Point Solutions Stadium                                               ,Piscataway                                                                 ,NJ,52454,FieldTurf                ,0,1994
2008,6.94E+14,UCLA                                              ,Pac-12/Pac-10 Conference                                                   ,1,7,11,21,76,25,147,18,7,4,20,9/1/2008,Rose Bowl                                                                  ,Pasadena                                                                   ,CA,91136,Grass                    ,1,1922
2008,6.48E+14,South Carolina                                    ,Southeastern Conference                                                    ,0,7,13,21,96,106,14,20,8,2,15,9/4/2008,Vanderbilt Stadium                                                         ,Nashville                                                                  ,TN,39773,Grass                    ,1,1922
2008,7.26E+14,Navy                                              ,Independent                                                                ,0,16,31,199,57,22,186,4,2,1,5,9/5/2008,Scheumann Stadium                                                          ,Munice                                                                     ,IN,22500,FieldTurf                ,0,1967
